date,date,open,high,close,low,volume
2016-06-15,,3043.96,3128.67,3116.37,3042.23,87393257.0
2016-06-16,,3104.36,3112.48,3094.67,3089.48,82974703.0
2016-06-17,,3096.09,3131.05,3110.36,3096.09,85402985.0
2016-06-20,,3114.91,3118.73,3112.67,3089.71,63587141.0
2016-06-21,,3124.9,3155.49,3106.32,3097.94,87965345.0
2016-06-22,,3100.45,3134.06,3133.96,3096.99,66487113.0
2016-06-23,,3129.72,3129.72,3117.32,3102.48,67751738.0
2016-06-24,,3110.65,3130.54,3077.16,3033.97,104792208.0
2016-06-27,,3065.13,3120.64,3120.54,3064.97,83267259.0
2016-06-28,,3107.4,3139.43,3136.4,3099.7,92024637.0
2016-06-29,,3142.48,3158.08,3151.39,3139.13,103723668.0
2016-06-30,,3152.83,3163.72,3153.92,3148.2,79692617.0
2016-07-01,,3156.93,3170.26,3154.2,3148.29,71746283.0
2016-07-04,,3136.39,3210.6,3204.7,3134.02,133310529.0
2016-07-05,,3199.16,3216.7,3207.38,3198.0,130226895.0
2016-07-06,,3197.62,3217.52,3216.8,3183.45,124897458.0
2016-07-07,,3206.55,3220.54,3209.95,3190.12,118595202.0
2016-07-08,,3199.75,3204.93,3192.28,3183.96,89734855.0
2016-07-11,,3199.04,3235.96,3203.33,3197.63,138529511.0
2016-07-12,,3201.91,3273.47,3273.18,3200.3,172534217.0
2016-07-13,,3274.02,3300.99,3282.87,3271.78,175196090.0
2016-07-14,,3277.48,3281.95,3276.76,3259.07,107525798.0
2016-07-15,,3278.84,3285.03,3276.28,3265.29,102665026.0
2016-07-18,,3269.71,3281.64,3262.02,3251.77,110312518.0
2016-07-19,,3260.43,3264.73,3248.23,3226.2,88886861.0
2016-07-20,,3246.86,3254.51,3237.6,3232.26,72701255.0
2016-07-21,,3238.34,3271.37,3252.52,3238.3,86004825.0
2016-07-22,,3251.24,3253.77,3225.16,3220.89,86029128.0
2016-07-25,,3220.17,3243.79,3230.89,3218.14,70203185.0
2016-07-26,,3228.23,3269.75,3269.59,3228.01,81051089.0
2016-07-27,,3270.08,3276.51,3218.24,3157.41,160188665.0
